date,temp_max,temp_min,rainfall
2022-11-28,28.1,19.3,0.0
2022-11-29,27.0,18.5,0.0
2022-11-30,26.1,15.5,0.0
2022-12-01,26.7,16.7,0.2
2022-12-02,27.5,19.1,0.0
2022-12-03,27.8,19.1,0.0
2022-12-04,27.9,19.7,0.0
2022-12-05,27.2,18.2,0.0
2022-12-06,27.0,18.0,0.0
2022-12-07,26.8,16.2,0.0
2022-12-08,25.8,16.5,0.0
2022-12-09,20.4,16.0,8.3
2022-12-10,19.2,16.8,34.7
2022-12-11,21.9,18.2,4.1
2022-12-12,24.4,19.1,15.2
2022-12-13,25.8,19.4,3.9
2022-12-14,26.9,18.1,0.1
2022-12-15,25.7,16.6,0.0
2022-12-16,26.6,15.2,0.0
2022-12-17,26.8,16.0,0.0
2022-12-18,26.5,16.5,0.1
2022-12-19,25.0,16.9,0.0
2022-12-20,26.2,14.4,0.0
2022-12-21,26.2,13.7,0.0
2022-12-22,26.0,13.5,0.0
2022-12-23,26.6,13.6,0.0
2022-12-24,26.6,12.5,0.0
2022-12-25,25.2,17.0,2.3
2022-12-26,28.1,19.7,0.8
2022-12-27,27.0,19.6,1.2
2022-12-28,28.3,18.9,0.0
2022-12-29,28.1,18.0,0.0
2022-12-30,27.9,17.3,0.0
2022-12-31,27.7,16.6,0.0
2023-01-01,27.9,16.4,0.0
2023-01-02,27.4,16.5,0.0
2023-01-03,26.9,16.7,0.0
2023-01-04,26.7,16.5,0.0
2023-01-05,25.9,16.5,0.0
2023-01-06,27.3,16.1,0.0
2023-01-07,26.5,15.9,0.0
2023-01-08,26.1,16.0,0.0
2023-01-09,25.8,13.3,0.0
2023-01-10,26.5,12.8,0.0
2023-01-11,27.4,12.2,0.0
2023-01-12,28.6,13.4,0.0
2023-01-13,28.9,14.3,0.0
2023-01-14,29.1,14.4,0.0
2023-01-15,29.6,13.0,0.0
2023-01-16,29.9,13.8,0.0
2023-01-17,29.6,14.5,0.0
2023-01-18,28.7,14.2,0.0
2023-01-19,28.2,14.3,0.0
2023-01-20,28.2,14.4,0.0
2023-01-21,27.6,16.9,0.0
2023-01-22,27.8,15.6,0.0
2023-01-23,28.8,15.3,0.0
2023-01-24,28.7,18.8,0.0
2023-01-25,28.8,15.8,0.0
2023-01-26,28.2,15.6,0.0
2023-01-27,28.4,15.4,0.0
2023-01-28,28.3,12.9,0.0
2023-01-29,27.9,14.5,0.0
2023-01-30,28.2,17.1,0.7
2023-01-31,28.5,17.9,0.0
2023-02-01,28.5,15.8,0.0
2023-02-02,28.7,16.9,0.0
2023-02-03,27.4,17.0,0.0
2023-02-04,30.0,17.6,0.0
2023-02-05,30.5,17.7,0.0
2023-02-06,30.3,17.1,0.0
2023-02-07,30.5,17.4,0.0
2023-02-08,31.5,17.9,0.0
2023-02-09,31.0,18.0,0.0
2023-02-10,31.0,17.5,0.0
2023-02-11,31.2,16.7,0.0
2023-02-12,31.9,17.7,0.0
2023-02-13,31.2,17.7,0.0
2023-02-14,30.8,16.5,0.0
2023-02-15,31.1,15.6,0.0
2023-02-16,31.0,16.6,0.0
2023-02-17,31.2,17.0,0.0
2023-02-18,30.8,17.2,0.0
2023-02-19,30.4,17.2,0.0
2023-02-20,30.6,17.0,0.0
2023-02-21,31.9,17.1,0.0
2023-02-22,31.8,17.6,0.0
2023-02-23,31.8,17.0,0.0
2023-02-24,32.0,15.5,0.0
2023-02-25,32.4,17.1,0.0
2023-02-26,31.3,17.9,0.0
2023-02-27,30.8,15.9,0.0
2023-02-28,31.4,15.1,0.0
2023-03-01,31.2,18.6,0.0
2023-03-02,30.8,16.5,0.0
2023-03-03,31.7,16.6,0.0
2023-03-04,32.1,16.7,0.0
2023-03-05,32.2,18.2,0.0
2023-03-06,32.1,17.8,0.0
2023-03-07,32.0,17.4,0.0
2023-03-08,31.9,18.5,0.0
2023-03-09,31.1,16.7,0.0
2023-03-10,31.5,16.6,0.0
2023-03-11,31.3,16.6,0.0
2023-03-12,32.4,15.7,0.0
2023-03-13,33.4,18.4,0.0
2023-03-14,33.9,19.8,0.0
2023-03-15,33.1,20.6,0.0
2023-03-16,31.3,21.2,3.7
2023-03-17,30.0,19.8,3.3
2023-03-18,31.5,20.0,5.7
2023-03-19,30.8,19.7,1.8
2023-03-20,31.2,19.3,0.0
2023-03-21,31.7,18.8,0.0
2023-03-22,32.5,19.4,0.0
2023-03-23,34.4,20.5,0.0
