date,temp_max,temp_min,rainfall
2022-11-28,27.1,18.8,0.0
2022-11-29,26.2,17.8,0.0
2022-11-30,25.4,14.9,0.0
2022-12-01,25.7,15.9,1.0
2022-12-02,26.8,18.5,0.1
2022-12-03,26.5,18.3,0.1
2022-12-04,27.1,18.4,0.0
2022-12-05,26.7,17.1,0.0
2022-12-06,26.3,17.7,0.0
2022-12-07,26.2,16.7,0.0
2022-12-08,24.9,16.3,0.1
2022-12-09,20.4,14.9,5.1
2022-12-10,18.5,16.3,21.4
2022-12-11,21.7,17.9,1.8
2022-12-12,23.7,18.5,2.9
2022-12-13,25.7,18.9,10.9
2022-12-14,25.6,17.9,0.2
2022-12-15,25.7,15.4,0.0
2022-12-16,25.9,14.7,0.0
2022-12-17,25.9,14.4,0.0
2022-12-18,25.6,15.8,0.0
2022-12-19,24.3,16.1,0.0
2022-12-20,26.0,14.8,0.0
2022-12-21,25.6,14.1,0.0
2022-12-22,25.5,14.2,0.0
2022-12-23,26.0,12.8,0.0
2022-12-24,26.3,13.1,0.0
2022-12-25,24.6,16.4,2.0
2022-12-26,26.8,19.0,0.8
2022-12-27,26.3,19.0,0.9
2022-12-28,27.1,18.4,0.0
2022-12-29,27.3,15.7,0.0
2022-12-30,27.2,14.7,0.0
2022-12-31,27.2,13.9,0.0
2023-01-01,27.4,14.5,0.0
2023-01-02,26.6,15.0,0.0
2023-01-03,26.3,15.1,0.0
2023-01-04,26.1,16.2,0.0
2023-01-05,24.6,16.0,0.0
2023-01-06,26.7,14.8,0.0
2023-01-07,26.4,15.2,0.0
2023-01-08,26.4,15.4,0.0
2023-01-09,25.8,13.4,0.0
2023-01-10,26.4,12.1,0.0
2023-01-11,27.1,10.5,0.0
2023-01-12,28.0,11.2,0.0
2023-01-13,28.4,11.0,0.0
2023-01-14,28.7,13.1,0.0
2023-01-15,28.6,11.0,0.0
2023-01-16,28.8,11.2,0.0
2023-01-17,28.6,14.4,0.0
2023-01-18,27.6,13.2,0.0
2023-01-19,27.3,13.5,0.0
2023-01-20,26.4,13.6,0.0
2023-01-21,26.6,16.4,0.0
2023-01-22,26.8,14.5,0.0
2023-01-23,27.8,14.9,0.0
2023-01-24,27.8,18.0,0.1
2023-01-25,28.1,16.1,0.0
2023-01-26,28.0,15.2,0.0
2023-01-27,28.4,15.3,0.0
2023-01-28,28.0,12.7,0.0
2023-01-29,27.8,12.6,0.0
2023-01-30,27.8,16.8,0.6
2023-01-31,28.5,16.9,0.0
2023-02-01,28.1,15.9,0.0
2023-02-02,28.9,17.0,0.0
2023-02-03,26.2,15.7,0.0
2023-02-04,29.6,16.8,0.0
2023-02-05,30.2,16.4,0.0
2023-02-06,29.3,15.5,0.0
2023-02-07,29.4,15.9,0.0
2023-02-08,30.9,16.7,0.0
2023-02-09,30.5,16.2,0.0
2023-02-10,30.0,15.3,0.0
2023-02-11,30.5,14.5,0.0
2023-02-12,31.2,15.9,0.0
2023-02-13,30.7,15.9,0.0
2023-02-14,30.5,14.6,0.0
2023-02-15,30.5,13.9,0.0
2023-02-16,30.6,14.8,0.0
2023-02-17,30.5,14.3,0.0
2023-02-18,30.3,14.6,0.0
2023-02-19,30.0,14.9,0.0
2023-02-20,30.2,16.1,0.0
2023-02-21,31.1,15.7,0.0
2023-02-22,31.3,15.7,0.0
2023-02-23,31.2,14.6,0.0
2023-02-24,31.5,14.1,0.0
2023-02-25,31.7,14.5,0.0
2023-02-26,30.6,16.1,0.0
2023-02-27,29.9,14.0,0.0
2023-02-28,30.1,13.5,0.0
2023-03-01,29.8,17.7,0.0
2023-03-02,30.1,15.0,0.0
2023-03-03,31.0,14.2,0.0
2023-03-04,30.8,15.4,0.0
2023-03-05,31.2,16.8,0.0
2023-03-06,31.2,16.8,0.0
2023-03-07,31.0,15.7,0.0
2023-03-08,30.9,16.3,0.0
2023-03-09,30.3,15.6,0.0
2023-03-10,30.5,16.2,0.0
2023-03-11,31.2,15.3,0.0
2023-03-12,31.4,14.8,0.0
2023-03-13,32.1,17.4,0.0
2023-03-14,32.4,17.8,0.0
2023-03-15,32.6,18.4,0.0
2023-03-16,31.2,20.0,0.4
2023-03-17,29.4,19.5,0.6
2023-03-18,30.0,19.1,0.5
2023-03-19,30.3,18.0,0.1
2023-03-20,31.4,17.5,0.0
2023-03-21,31.6,17.2,0.0
2023-03-22,32.5,17.9,0.0
2023-03-23,33.4,19.2,0.0
2023-03-24,35.0,20.0,0.0
2023-03-25,31.6,20.4,1.8
2023-03-26,33.5,20.9,0.3
2023-03-27,33.9,20.3,0.0
2023-03-28,34.2,19.9,0.0
2023-03-29,32.1,21.4,0.3
2023-03-30,32.0,21.2,0.1
2023-03-31,32.6,20.2,0.7
2023-04-01,31.9,21.2,1.1
2023-04-02,33.8,20.9,0.0
2023-04-03,33.8,20.1,0.0
2023-04-04,31.9,21.4,2.7
2023-04-05,33.4,20.0,0.0
2023-04-06,32.0,21.1,0.2
2023-04-07,33.3,20.9,0.0
2023-04-08,32.6,19.3,0.0
2023-04-09,33.2,18.4,0.0
2023-04-10,33.9,19.6,0.0
2023-04-11,33.9,19.1,0.0
2023-04-12,34.9,18.1,0.0
2023-04-13,35.2,19.0,0.0
2023-04-14,35.2,20.2,0.0
2023-04-15,34.3,20.6,0.0
2023-04-16,34.5,18.4,0.0
2023-04-17,35.0,19.6,0.0
2023-04-18,35.3,20.2,0.0
2023-04-19,35.0,19.8,0.0
2023-04-20,35.5,20.7,0.0
2023-04-21,34.0,21.5,0.0
2023-04-22,33.6,20.9,0.0
2023-04-23,33.3,21.7,0.0
2023-04-24,33.5,21.5,0.1
2023-04-25,32.2,22.2,1.0
2023-04-26,32.6,21.1,0.8
