date,temp_max,temp_min,rainfall
2022-11-28,26.9,18.5,0.0
2022-11-29,25.9,17.4,0.0
2022-11-30,24.7,14.7,0.0
2022-12-01,25.3,15.9,0.8
2022-12-02,26.0,18.3,0.3
2022-12-03,26.3,18.1,0.0
2022-12-04,26.7,18.6,0.0
2022-12-05,26.0,17.1,0.0
2022-12-06,25.5,17.4,0.0
2022-12-07,25.5,16.1,0.0
2022-12-08,24.5,16.1,0.0
2022-12-09,19.7,14.7,5.1
2022-12-10,18.3,16.1,28.8
2022-12-11,21.1,17.4,4.3
2022-12-12,22.7,18.3,10.7
2022-12-13,24.1,18.7,7.2
2022-12-14,25.3,17.4,0.4
2022-12-15,24.9,16.2,0.0
2022-12-16,25.2,15.1,0.0
2022-12-17,25.2,14.7,0.0
2022-12-18,25.0,16.3,0.3
2022-12-19,23.5,15.8,0.0
2022-12-20,24.9,14.6,0.0
2022-12-21,24.6,13.9,0.0
2022-12-22,24.5,13.8,0.0
2022-12-23,25.2,12.5,0.0
2022-12-24,25.3,11.9,0.0
2022-12-25,23.9,16.3,1.8
2022-12-26,26.4,18.7,1.0
2022-12-27,25.8,18.8,1.3
2022-12-28,26.3,18.2,0.0
2022-12-29,26.5,16.7,0.0
2022-12-30,26.3,15.9,0.0
2022-12-31,26.2,15.3,0.0
2023-01-01,26.3,14.8,0.0
2023-01-02,26.2,15.4,0.0
2023-01-03,25.8,15.6,0.0
2023-01-04,25.6,15.6,0.0
2023-01-05,24.3,15.9,0.0
2023-01-06,25.9,14.9,0.0
2023-01-07,25.3,14.6,0.0
2023-01-08,25.2,15.1,0.0
2023-01-09,24.6,13.0,0.0
2023-01-10,25.2,11.5,0.0
2023-01-11,26.1,10.6,0.0
2023-01-12,27.1,11.4,0.0
2023-01-13,27.6,12.5,0.0
2023-01-14,27.7,13.6,0.0
2023-01-15,27.9,11.4,0.0
2023-01-16,28.3,12.8,0.0
2023-01-17,28.0,13.5,0.0
2023-01-18,27.0,13.5,0.0
2023-01-19,26.7,13.5,0.0
2023-01-20,26.0,13.5,0.0
2023-01-21,26.3,16.1,0.0
2023-01-22,26.2,14.6,0.0
2023-01-23,26.6,14.6,0.0
2023-01-24,27.4,17.6,0.0
2023-01-25,27.7,15.2,0.0
2023-01-26,27.2,15.0,0.0
2023-01-27,27.6,15.1,0.0
2023-01-28,27.1,13.2,0.0
2023-01-29,26.7,13.7,0.0
2023-01-30,27.0,16.5,0.8
2023-01-31,27.4,16.7,0.0
2023-02-01,27.3,15.8,0.0
2023-02-02,28.5,16.0,0.0
2023-02-03,25.8,15.8,0.0
2023-02-04,28.5,16.9,0.0
2023-02-05,29.4,16.7,0.0
2023-02-06,29.1,15.7,0.0
2023-02-07,29.4,16.2,0.0
2023-02-08,30.1,16.7,0.0
2023-02-09,29.6,16.7,0.0
2023-02-10,29.6,16.0,0.0
2023-02-11,29.7,14.8,0.0
2023-02-12,30.6,16.5,0.0
2023-02-13,30.1,16.6,0.0
2023-02-14,29.6,15.3,0.0
2023-02-15,29.8,14.5,0.0
2023-02-16,30.0,15.1,0.0
2023-02-17,29.8,15.4,0.0
2023-02-18,29.6,15.5,0.0
2023-02-19,29.1,15.7,0.0
2023-02-20,29.2,16.2,0.0
2023-02-21,30.3,15.7,0.0
2023-02-22,30.5,16.2,0.0
