date,temp_max,temp_min,rainfall
2022-11-28,27.1,18.7,0.0
2022-11-29,26.3,16.9,0.0
2022-11-30,25.4,15.4,0.0
2022-12-01,25.8,17.4,0.8
2022-12-02,26.7,18.6,0.1
2022-12-03,26.9,18.2,0.3
2022-12-04,27.7,18.7,0.0
2022-12-05,26.7,16.7,0.1
2022-12-06,26.7,16.8,0.0
2022-12-07,25.4,16.3,0.0
2022-12-08,24.6,15.6,0.3
2022-12-09,19.1,14.5,14.1
2022-12-10,18.6,16.6,27.9
2022-12-11,21.7,17.2,7.9
2022-12-12,23.6,18.5,7.2
2022-12-13,23.0,18.6,16.8
2022-12-14,25.3,17.1,0.6
2022-12-15,25.4,14.6,0.0
2022-12-16,25.9,13.7,0.0
2022-12-17,26.0,14.7,0.0
2022-12-18,25.1,15.1,1.8
2022-12-19,24.1,14.6,0.0
2022-12-20,25.6,13.8,0.0
2022-12-21,25.4,13.0,0.0
2022-12-22,25.1,13.3,0.0
2022-12-23,25.3,12.5,0.0
2022-12-24,25.0,12.1,0.0
2022-12-25,24.1,17.0,4.6
2022-12-26,26.2,18.9,1.3
2022-12-27,26.0,18.9,3.1
2022-12-28,26.6,17.9,0.3
2022-12-29,26.9,15.2,0.0
2022-12-30,26.8,14.8,0.0
2022-12-31,26.4,14.2,0.0
2023-01-01,26.5,13.9,0.0
2023-01-02,25.4,14.2,0.0
2023-01-03,25.6,15.8,0.0
2023-01-04,25.7,16.3,0.0
2023-01-05,24.5,15.8,0.2
2023-01-06,26.2,13.6,0.0
2023-01-07,25.3,14.4,0.0
2023-01-08,25.0,14.2,0.0
2023-01-09,25.0,12.3,0.0
2023-01-10,25.1,11.3,0.0
2023-01-11,26.1,10.8,0.0
2023-01-12,26.8,11.7,0.0
2023-01-13,27.2,11.5,0.0
2023-01-14,27.6,12.4,0.0
2023-01-15,27.9,11.3,0.0
2023-01-16,28.3,10.6,0.0
2023-01-17,27.2,13.7,0.0
2023-01-18,26.7,11.7,0.0
2023-01-19,26.6,13.5,0.0
2023-01-20,25.8,12.2,0.0
2023-01-21,26.2,16.3,0.0
2023-01-22,26.1,13.0,0.0
2023-01-23,25.2,14.7,0.0
2023-01-24,26.5,17.1,0.0
2023-01-25,26.3,15.2,0.0
2023-01-26,26.3,15.6,0.0
2023-01-27,27.0,15.3,0.0
2023-01-28,26.9,12.0,0.0
2023-01-29,26.9,14.1,0.0
2023-01-30,26.7,16.9,1.2
2023-01-31,27.6,16.7,0.0
2023-02-01,28.2,15.2,0.0
2023-02-02,28.3,16.0,0.0
2023-02-03,27.1,15.4,0.0
2023-02-04,29.6,14.9,0.0
2023-02-05,29.6,15.3,0.0
2023-02-06,28.9,13.8,0.0
2023-02-07,29.5,14.9,0.0
2023-02-08,30.2,15.3,0.0
2023-02-09,29.9,15.0,0.0
2023-02-10,29.6,15.1,0.0
2023-02-11,29.9,14.8,0.0
2023-02-12,30.6,16.3,0.0
2023-02-13,30.1,13.9,0.0
2023-02-14,29.9,14.4,0.0
2023-02-15,30.1,13.4,0.0
2023-02-16,30.0,13.8,0.0
2023-02-17,30.0,13.5,0.0
2023-02-18,29.7,13.5,0.0
2023-02-19,29.5,14.8,0.0
2023-02-20,29.7,14.9,0.0
2023-02-21,30.7,14.6,0.0
2023-02-22,30.6,14.3,0.0
2023-02-23,30.7,13.0,0.0
2023-02-24,30.9,13.3,0.0
2023-02-25,31.4,15.1,0.0
2023-02-26,29.9,13.9,0.0
2023-02-27,29.3,13.7,0.0
2023-02-28,30.0,12.5,0.0
2023-03-01,30.0,16.9,0.0
2023-03-02,29.3,13.1,0.0
2023-03-03,30.6,13.0,0.0
2023-03-04,30.4,14.9,0.0
2023-03-05,30.8,14.8,0.0
2023-03-06,30.8,14.9,0.0
2023-03-07,30.5,13.8,0.0
2023-03-08,30.4,14.7,0.0
2023-03-09,30.2,15.0,0.0
2023-03-10,29.8,14.5,0.0
2023-03-11,30.6,14.9,0.0
2023-03-12,30.9,15.2,0.0
2023-03-13,31.5,16.2,0.0
2023-03-14,32.5,16.9,0.0
2023-03-15,32.4,17.4,0.0
2023-03-16,30.9,19.0,3.5
2023-03-17,29.3,19.0,0.8
2023-03-18,29.9,18.9,8.7
2023-03-19,30.4,17.6,0.9
2023-03-20,31.4,17.8,0.0
2023-03-21,32.0,18.4,0.0
