date,temp_max,temp_min,rainfall
2022-11-28,27.2,19.0,0.0
2022-11-29,26.2,18.3,0.0
2022-11-30,25.2,15.4,0.0
2022-12-01,25.8,16.5,0.5
2022-12-02,26.5,18.6,0.2
2022-12-03,27.1,18.6,0.0
2022-12-04,27.1,19.1,0.0
2022-12-05,26.7,17.7,0.0
2022-12-06,26.2,18.2,0.0
2022-12-07,25.9,17.0,0.0
2022-12-08,24.7,16.4,0.0
2022-12-09,20.2,14.5,4.7
2022-12-10,18.6,16.3,31.1
2022-12-11,21.5,18.0,3.1
2022-12-12,23.5,18.8,11.6
2022-12-13,25.3,19.3,7.0
2022-12-14,25.8,17.8,0.1
2022-12-15,25.6,16.8,0.0
2022-12-16,25.8,15.9,0.0
2022-12-17,25.8,16.1,0.0
2022-12-18,25.8,16.9,0.0
2022-12-19,24.1,16.3,0.0
2022-12-20,25.6,15.1,0.0
2022-12-21,25.4,14.7,0.0
2022-12-22,25.1,14.6,0.0
2022-12-23,25.7,14.6,0.0
2022-12-24,25.9,13.4,0.0
2022-12-25,24.7,16.6,1.9
2022-12-26,27.0,19.3,0.3
2022-12-27,26.6,19.3,1.2
2022-12-28,27.0,18.7,0.0
2022-12-29,27.0,17.4,0.0
2022-12-30,26.8,16.9,0.0
2022-12-31,26.7,16.2,0.0
2023-01-01,26.9,15.7,0.0
2023-01-02,26.7,16.2,0.0
2023-01-03,26.0,16.1,0.0
2023-01-04,25.9,16.0,0.0
2023-01-05,24.6,16.3,0.0
2023-01-06,26.2,15.3,0.0
2023-01-07,25.7,15.3,0.0
2023-01-08,25.8,16.2,0.0
2023-01-09,25.2,13.5,0.0
2023-01-10,25.7,13.1,0.0
2023-01-11,26.5,12.3,0.0
2023-01-12,27.6,13.2,0.0
2023-01-13,28.0,13.7,0.0
2023-01-14,28.1,14.0,0.0
2023-01-15,28.4,13.0,0.0
2023-01-16,28.7,13.7,0.0
2023-01-17,28.6,14.2,0.0
2023-01-18,27.6,14.0,0.0
2023-01-19,27.2,14.1,0.0
2023-01-20,26.7,14.1,0.0
2023-01-21,26.9,16.4,0.0
2023-01-22,26.7,15.3,0.0
2023-01-23,27.6,15.1,0.0
2023-01-24,28.1,18.2,0.0
2023-01-25,28.4,15.7,0.0
2023-01-26,27.8,15.6,0.0
2023-01-27,28.1,15.4,0.0
2023-01-28,27.6,13.8,0.0
2023-01-29,27.3,14.1,0.0
2023-01-30,27.6,16.9,0.7
2023-01-31,28.0,17.2,0.0
2023-02-01,27.9,16.4,0.0
2023-02-02,29.1,17.0,0.0
2023-02-03,26.2,16.6,0.0
2023-02-04,28.9,18.0,0.0
2023-02-05,29.8,17.8,0.0
2023-02-06,29.7,16.8,0.0
2023-02-07,29.9,16.8,0.0
2023-02-08,30.5,17.6,0.0
2023-02-09,30.0,17.7,0.0
2023-02-10,29.9,16.9,0.0
2023-02-11,30.1,16.9,0.0
2023-02-12,31.0,17.8,0.0
2023-02-13,30.4,17.7,0.0
2023-02-14,30.1,16.5,0.0
2023-02-15,30.3,15.4,0.0
2023-02-16,30.3,17.0,0.0
2023-02-17,30.3,16.6,0.0
2023-02-18,30.1,16.6,0.0
2023-02-19,29.7,16.4,0.0
2023-02-20,29.8,16.9,0.0
2023-02-21,30.8,16.9,0.0
2023-02-22,30.9,17.2,0.0
2023-02-23,30.9,16.2,0.0
2023-02-24,31.4,15.8,0.0
2023-02-25,31.5,17.1,0.0
2023-02-26,30.6,17.7,0.0
2023-02-27,30.1,15.9,0.0
2023-02-28,30.7,15.1,0.0
2023-03-01,30.3,18.3,0.0
2023-03-02,30.4,16.5,0.0
2023-03-03,30.9,16.6,0.0
2023-03-04,31.3,16.7,0.0
2023-03-05,31.6,18.5,0.0
2023-03-06,31.4,18.5,0.0
2023-03-07,31.2,17.8,0.0
2023-03-08,31.1,18.2,0.0
2023-03-09,30.3,17.1,0.0
2023-03-10,31.0,17.1,0.0
2023-03-11,30.8,17.0,0.0
2023-03-12,31.8,15.7,0.0
2023-03-13,32.6,18.2,0.0
2023-03-14,32.9,19.1,0.0
2023-03-15,32.8,19.4,0.0
2023-03-16,31.3,20.5,4.0
2023-03-17,28.8,18.7,12.2
2023-03-18,30.0,19.1,8.0
2023-03-19,30.1,18.3,0.6
2023-03-20,31.1,17.8,0.0
2023-03-21,30.9,17.4,0.0
2023-03-22,31.8,18.9,0.0
2023-03-23,33.8,19.0,0.0
2023-03-24,33.4,20.5,0.0
2023-03-25,31.8,20.9,1.1
2023-03-26,32.9,21.4,0.0
2023-03-27,33.6,20.7,0.0
2023-03-28,33.7,19.0,0.0
2023-03-29,31.9,21.5,0.0
2023-03-30,32.6,21.1,0.4
2023-03-31,31.6,21.1,0.8
2023-04-01,32.4,21.9,0.0
2023-04-02,33.6,21.2,0.0
2023-04-03,33.9,20.5,0.0
2023-04-04,31.9,21.7,4.6
2023-04-05,33.4,20.1,0.0
2023-04-06,33.0,22.2,0.6
2023-04-07,33.5,21.6,0.0
2023-04-08,33.4,20.3,0.0
2023-04-09,33.8,19.2,0.0
2023-04-10,34.3,20.1,0.0
2023-04-11,34.9,20.0,0.0
2023-04-12,35.6,20.5,0.0
2023-04-13,36.0,22.1,0.0
2023-04-14,35.8,21.9,0.0
2023-04-15,34.7,21.1,0.0
2023-04-16,35.4,21.5,0.0
2023-04-17,36.0,21.8,0.0
2023-04-18,36.0,22.4,0.0
2023-04-19,36.3,22.3,0.0
2023-04-20,35.5,22.0,0.0
2023-04-21,34.3,22.3,0.3
2023-04-22,33.5,21.2,0.1
2023-04-23,33.7,22.2,0.0
2023-04-24,33.7,22.0,0.0
2023-04-25,33.1,22.8,0.6
2023-04-26,33.4,21.7,0.7
2023-04-27,34.2,21.9,0.0
2023-04-28,34.4,21.8,0.3
2023-04-29,31.5,20.0,6.5
2023-04-30,31.8,21.8,2.6
2023-05-01,29.8,19.9,2.1
2023-05-02,30.7,21.3,6.5
2023-05-03,27.3,20.3,2.1
2023-05-04,29.6,20.6,1.4
2023-05-05,27.9,21.3,0.0
2023-05-06,31.0,21.6,1.6
2023-05-07,29.7,20.5,1.3
2023-05-08,31.2,21.0,14.3
2023-05-09,31.5,19.6,13.8
2023-05-10,32.8,20.3,0.0
2023-05-11,32.8,21.3,0.8
2023-05-12,33.5,21.8,0.1
2023-05-13,31.6,22.1,0.4
2023-05-14,33.5,21.2,0.0
2023-05-15,33.6,21.2,0.0
2023-05-16,33.2,20.8,0.0
2023-05-17,34.1,21.7,0.0
2023-05-18,34.7,22.6,0.0
2023-05-19,34.9,22.6,0.0
2023-05-20,33.8,22.2,0.2
2023-05-21,32.5,21.6,9.2
2023-05-22,31.1,20.5,1.7
2023-05-23,33.4,20.7,0.0
2023-05-24,32.6,21.6,0.8
2023-05-25,32.5,21.5,1.9
2023-05-26,32.2,21.0,0.4
2023-05-27,32.0,21.0,0.0
2023-05-28,33.3,21.9,0.0
2023-05-29,33.4,22.3,0.7
2023-05-30,31.9,22.1,27.5
2023-05-31,31.2,21.3,6.3
2023-06-01,32.0,21.4,13.6
2023-06-02,31.1,21.9,1.0
2023-06-03,32.8,22.1,0.0
2023-06-04,30.2,22.0,0.5
2023-06-05,31.2,21.4,0.2
2023-06-06,32.0,21.7,0.0
2023-06-07,32.1,21.9,0.0
2023-06-08,33.0,21.2,0.0
2023-06-09,32.8,20.9,3.8
2023-06-10,31.6,21.1,1.0
2023-06-11,31.7,21.6,0.0
2023-06-12,31.6,21.3,0.5
2023-06-13,32.6,20.6,0.4
2023-06-14,32.4,20.7,0.9
2023-06-15,32.8,20.8,0.0
2023-06-16,33.3,21.3,0.0
2023-06-17,32.7,20.8,0.3
2023-06-18,31.3,22.4,0.2
2023-06-19,31.9,21.7,3.1
2023-06-20,27.2,21.9,11.2
2023-06-21,31.4,21.2,16.4
2023-06-22,29.0,21.1,6.8
2023-06-23,29.4,20.8,0.6
2023-06-24,28.1,20.7,3.4
2023-06-25,29.8,19.9,0.9
2023-06-26,28.7,20.3,1.5
2023-06-27,29.5,20.0,0.3
2023-06-28,29.1,20.3,2.2
2023-06-29,29.3,20.2,4.4
2023-06-30,29.6,20.2,0.7
2023-07-01,29.2,20.7,0.9
2023-07-02,28.8,21.0,4.7
2023-07-03,28.4,20.9,5.8
2023-07-04,28.0,20.5,20.1
2023-07-05,27.6,20.7,4.0
2023-07-06,24.7,20.6,10.5
2023-07-07,27.4,20.3,2.5
2023-07-08,27.6,20.5,3.0
2023-07-09,27.8,20.2,3.1
2023-07-10,27.4,20.3,1.4
2023-07-11,26.7,20.7,7.7
2023-07-12,28.4,19.9,1.6
2023-07-13,27.4,19.8,2.5
2023-07-14,27.6,20.3,1.2
2023-07-15,28.1,20.1,1.6
2023-07-16,28.0,20.2,1.0
2023-07-17,28.0,19.9,3.2
2023-07-18,27.9,20.9,1.5
2023-07-19,26.0,20.3,1.8
2023-07-20,26.2,20.7,3.0
2023-07-21,26.1,20.8,4.2
2023-07-22,26.2,21.0,10.8
2023-07-23,24.9,20.5,19.9
2023-07-24,25.6,20.2,8.4
2023-07-25,22.7,20.2,18.4
2023-07-26,22.6,20.0,16.8
2023-07-27,26.5,20.0,5.4
2023-07-28,27.4,19.6,1.7
2023-07-29,27.7,19.9,3.1
2023-07-30,28.2,19.6,1.5
2023-07-31,28.6,20.2,0.8
2023-08-01,28.2,20.2,0.6
2023-08-02,28.2,19.7,0.3
2023-08-03,28.4,20.2,0.6
2023-08-04,28.5,20.0,1.4
