date,temp_max,temp_min,rainfall
2022-11-28,28.0,19.0,0.0
2022-11-29,26.9,18.3,0.0
2022-11-30,26.1,15.7,0.0
2022-12-01,26.4,17.0,0.4
2022-12-02,27.3,19.0,0.1
2022-12-03,27.6,19.2,0.0
2022-12-04,28.3,19.4,0.0
2022-12-05,27.3,18.2,0.0
2022-12-06,27.0,18.2,0.0
2022-12-07,26.9,16.1,0.0
2022-12-08,26.3,16.0,0.0
2022-12-09,20.5,15.6,7.6
2022-12-10,19.1,16.6,27.3
2022-12-11,21.8,18.3,4.2
2022-12-12,23.5,19.2,18.2
2022-12-13,24.4,19.2,4.4
2022-12-14,26.5,17.9,0.2
2022-12-15,25.7,16.8,0.0
2022-12-16,26.5,14.7,0.0
2022-12-17,26.8,15.6,0.0
2022-12-18,26.3,16.9,0.1
2022-12-19,25.0,16.8,0.0
2022-12-20,26.2,14.5,0.0
2022-12-21,26.3,13.9,0.0
2022-12-22,26.1,14.3,0.0
2022-12-23,26.5,13.8,0.0
2022-12-24,26.4,13.4,0.0
2022-12-25,24.2,16.2,2.0
2022-12-26,27.9,19.3,1.4
2022-12-27,26.8,19.6,1.0
2022-12-28,28.5,18.8,0.0
2022-12-29,28.4,17.8,0.0
2022-12-30,28.2,17.1,0.0
2022-12-31,27.9,16.4,0.0
2023-01-01,28.0,16.1,0.0
2023-01-02,27.5,16.4,0.0
2023-01-03,27.1,16.5,0.0
2023-01-04,26.8,16.3,0.0
2023-01-05,26.0,16.5,0.0
2023-01-06,27.3,16.5,0.0
2023-01-07,26.7,15.9,0.0
2023-01-08,26.2,16.0,0.0
2023-01-09,26.0,13.3,0.0
2023-01-10,26.8,13.0,0.0
2023-01-11,27.7,12.3,0.0
2023-01-12,28.9,13.2,0.0
2023-01-13,29.2,14.0,0.0
2023-01-14,29.3,14.2,0.0
2023-01-15,29.9,13.0,0.0
2023-01-16,30.0,13.5,0.0
2023-01-17,29.4,14.2,0.0
2023-01-18,28.7,14.1,0.0
2023-01-19,28.4,14.3,0.0
2023-01-20,28.0,14.4,0.0
2023-01-21,27.6,17.0,0.0
2023-01-22,27.8,15.6,0.0
2023-01-23,29.2,15.4,0.0
2023-01-24,29.0,18.8,0.0
2023-01-25,28.9,15.5,0.0
