date,temp_max,temp_min,rainfall
2022-11-28,26.2,17.7,0.0
2022-11-29,25.0,16.8,0.0
2022-11-30,23.9,14.1,0.0
2022-12-01,24.6,15.3,0.7
2022-12-02,25.3,17.4,0.0
2022-12-03,25.6,17.2,0.0
2022-12-04,25.8,17.8,0.0
2022-12-05,25.0,16.4,0.0
2022-12-06,24.8,16.9,0.0
2022-12-07,24.6,15.4,0.0
2022-12-08,23.6,15.4,0.0
2022-12-09,18.9,13.9,6.9
2022-12-10,17.5,15.3,33.7
2022-12-11,20.3,16.6,4.2
2022-12-12,22.7,17.5,5.3
2022-12-13,23.6,18.1,6.9
2022-12-14,24.6,16.6,0.6
2022-12-15,24.0,15.7,0.0
2022-12-16,24.3,14.9,0.0
2022-12-17,24.5,14.7,0.0
2022-12-18,24.4,15.8,0.3
2022-12-19,22.8,15.1,0.0
2022-12-20,24.1,13.9,0.0
2022-12-21,24.0,13.4,0.0
2022-12-22,23.8,13.3,0.0
2022-12-23,24.5,12.5,0.0
2022-12-24,24.7,11.8,0.0
2022-12-25,23.3,15.6,2.3
2022-12-26,25.9,17.9,0.9
2022-12-27,25.0,18.1,2.1
2022-12-28,26.0,17.4,0.1
2022-12-29,25.9,16.3,0.0
2022-12-30,25.7,15.6,0.0
2022-12-31,25.6,15.0,0.0
2023-01-01,25.6,14.5,0.0
2023-01-02,25.4,14.9,0.0
2023-01-03,25.0,15.1,0.0
2023-01-04,24.7,14.9,0.0
2023-01-05,23.6,15.0,0.1
2023-01-06,25.1,14.4,0.0
2023-01-07,24.5,13.9,0.0
2023-01-08,24.3,14.7,0.0
2023-01-09,23.7,12.1,0.0
2023-01-10,24.3,11.8,0.0
2023-01-11,25.2,10.9,0.0
2023-01-12,26.3,11.2,0.0
2023-01-13,26.7,12.5,0.0
2023-01-14,26.8,12.8,0.0
2023-01-15,27.1,11.5,0.0
2023-01-16,27.6,12.4,0.0
2023-01-17,27.3,12.9,0.0
2023-01-18,26.4,12.8,0.0
2023-01-19,26.0,12.9,0.0
2023-01-20,25.6,12.9,0.0
2023-01-21,25.5,15.4,0.0
2023-01-22,25.5,14.2,0.0
2023-01-23,26.2,14.0,0.0
2023-01-24,26.5,17.1,0.0
2023-01-25,26.8,14.4,0.0
2023-01-26,26.3,14.3,0.0
2023-01-27,26.6,14.2,0.0
2023-01-28,26.3,12.4,0.0
2023-01-29,25.8,13.3,0.0
