date,temp_max,temp_min,rainfall
2022-11-28,27.5,19.1,0.0
2022-11-29,26.4,16.9,0.0
2022-11-30,25.7,14.8,0.1
2022-12-01,25.8,18.2,1.7
2022-12-02,26.8,18.9,1.0
2022-12-03,27.1,19.1,0.9
2022-12-04,26.9,19.1,0.6
2022-12-05,26.8,16.9,0.6
2022-12-06,26.5,17.2,0.0
2022-12-07,25.8,16.7,0.0
2022-12-08,24.1,16.9,1.3
2022-12-09,19.5,14.8,7.7
2022-12-10,19.6,17.5,29.4
2022-12-11,22.9,17.7,8.5
2022-12-12,23.2,19.2,35.5
2022-12-13,24.4,19.1,7.8
2022-12-14,25.7,18.0,2.6
2022-12-15,25.4,15.7,0.0
2022-12-16,26.1,17.2,0.0
2022-12-17,26.1,16.6,0.0
2022-12-18,24.4,17.3,2.0
2022-12-19,23.8,15.8,0.1
2022-12-20,25.2,14.6,0.0
2022-12-21,24.7,14.3,0.0
2022-12-22,24.7,14.0,0.0
2022-12-23,25.3,13.9,0.0
2022-12-24,25.9,13.9,0.0
2022-12-25,23.0,17.7,5.8
2022-12-26,26.1,19.5,2.5
2022-12-27,25.8,19.1,2.7
2022-12-28,26.9,18.9,0.1
2022-12-29,27.5,17.7,0.0
2022-12-30,27.0,17.1,0.0
2022-12-31,26.8,16.4,0.0
2023-01-01,26.7,16.7,0.0
2023-01-02,26.0,15.9,0.0
2023-01-03,26.2,17.3,0.0
2023-01-04,25.8,16.4,0.0
2023-01-05,25.2,16.2,0.1
2023-01-06,25.6,14.7,0.0
2023-01-07,24.8,14.8,0.0
2023-01-08,25.1,15.3,0.0
2023-01-09,24.5,12.1,0.0
2023-01-10,25.5,12.4,0.0
2023-01-11,26.2,11.6,0.0
2023-01-12,26.7,12.0,0.0
2023-01-13,27.1,13.5,0.0
2023-01-14,27.2,13.2,0.0
2023-01-15,27.6,13.7,0.0
2023-01-16,28.4,14.4,0.0
2023-01-17,26.9,14.7,0.0
2023-01-18,26.7,12.8,0.0
2023-01-19,26.8,13.8,0.0
2023-01-20,25.9,13.0,0.0
2023-01-21,26.8,16.3,0.2
2023-01-22,26.7,13.9,0.0
2023-01-23,25.5,15.6,0.4
2023-01-24,27.2,17.0,0.2
2023-01-25,26.8,15.8,0.0
2023-01-26,26.7,14.5,0.0
2023-01-27,27.2,15.3,0.0
2023-01-28,27.9,15.4,0.0
2023-01-29,27.6,14.8,0.0
2023-01-30,26.8,18.2,0.9
2023-01-31,27.8,17.1,0.0
2023-02-01,28.0,15.6,0.0
2023-02-02,27.5,15.7,0.0
2023-02-03,28.2,15.6,0.0
2023-02-04,29.8,17.1,0.0
2023-02-05,30.2,15.7,0.0
2023-02-06,29.7,15.6,0.0
2023-02-07,30.1,16.4,0.0
2023-02-08,30.9,16.5,0.0
2023-02-09,30.8,16.5,0.0
2023-02-10,30.2,15.7,0.0
2023-02-11,30.7,14.5,0.0
2023-02-12,31.5,14.8,0.0
2023-02-13,30.9,15.9,0.0
2023-02-14,30.1,14.8,0.0
2023-02-15,30.5,15.2,0.0
2023-02-16,30.6,15.9,0.0
2023-02-17,30.7,15.6,0.0
2023-02-18,30.0,16.1,0.0
2023-02-19,29.9,17.3,0.0
2023-02-20,30.0,16.7,0.0
2023-02-21,31.3,16.4,0.0
