date,temp_max,temp_min,rainfall
2015-12-03,23.1,16.9,4.5
2015-12-04,24.5,16.4,0.0
2015-12-05,24.5,16.2,0.0
2015-12-06,24.1,16.1,0.0
2015-12-07,24.7,15.7,0.0
2015-12-08,24.1,15.1,0.0
2015-12-09,25.1,15.9,0.2
2015-12-10,25.1,19.1,1.2
2015-12-11,25.8,18.5,0.0
2015-12-12,24.4,16.8,0.2
2015-12-13,26.8,16.5,0.0
2015-12-14,26.8,17.8,0.7
2015-12-15,26.8,17.4,0.0
2015-12-16,26.7,15.1,0.0
2015-12-17,26.1,14.9,0.0
2015-12-18,26.5,15.3,0.0
2015-12-19,26.2,17.9,0.0
2015-12-20,26.2,17.1,0.0
2015-12-21,26.6,16.2,0.0
2015-12-22,27.1,15.6,0.0
2015-12-23,26.0,14.5,0.0
2015-12-24,26.4,13.6,0.0
2015-12-25,25.3,15.5,0.0
2015-12-26,25.1,16.0,0.0
2015-12-27,25.3,16.8,0.0
2015-12-28,25.5,12.9,0.0
2015-12-29,26.2,12.0,0.0
2015-12-30,26.7,11.3,0.0
2015-12-31,26.5,11.3,0.0
2016-01-01,25.5,12.2,0.0
2016-01-02,26.0,11.3,0.0
2016-01-03,26.5,12.0,0.0
2016-01-04,26.2,12.8,0.0
2016-01-05,25.7,12.0,0.0
2016-01-06,26.2,12.5,0.0
2016-01-07,26.0,14.4,0.0
2016-01-08,25.9,13.6,0.0
2016-01-09,26.1,12.7,0.0
2016-01-10,26.1,12.7,0.0
2016-01-11,25.9,12.4,0.0
2016-01-12,26.3,13.1,0.0
2016-01-13,26.3,13.7,0.0
2016-01-14,26.7,13.9,0.0
2016-01-15,26.2,13.8,0.0
2016-01-16,26.5,13.7,0.0
2016-01-17,26.0,15.1,0.0
2016-01-18,26.5,15.6,0.0
2016-01-19,24.6,17.1,0.0
2016-01-20,23.7,18.0,0.9
2016-01-21,25.6,17.9,0.9
2016-01-22,24.5,18.2,1.5
2016-01-23,25.3,18.2,0.0
2016-01-24,25.3,18.2,0.1
2016-01-25,27.7,17.7,0.0
2016-01-26,27.8,17.2,0.0
2016-01-27,28.2,17.0,0.0
2016-01-28,29.1,16.4,0.0
2016-01-29,28.9,15.2,0.0
2016-01-30,28.1,13.7,0.0
2016-01-31,28.9,12.6,0.0
2016-02-01,29.6,12.1,0.0
2016-02-02,30.2,12.3,0.0
2016-02-03,29.8,13.6,0.0
2016-02-04,29.4,15.7,0.0
2016-02-05,28.1,15.2,0.0
2016-02-06,28.8,15.5,0.0
2016-02-07,29.5,16.5,0.0
2016-02-08,29.9,17.8,0.0
2016-02-09,30.0,17.2,0.0
2016-02-10,29.9,17.4,0.0
2016-02-11,30.2,19.5,0.0
2016-02-12,29.5,19.2,0.0
2016-02-13,29.9,18.8,0.0
2016-02-14,30.0,16.2,0.0
2016-02-15,29.3,15.0,0.0
2016-02-16,30.0,16.7,0.0
2016-02-17,29.3,15.8,0.0
2016-02-18,28.9,17.4,0.0
2016-02-19,30.3,16.8,0.0
2016-02-20,31.5,17.1,0.0
2016-02-21,32.5,18.8,0.0
2016-02-22,33.3,18.7,0.0
2016-02-23,33.2,17.6,0.0
2016-02-24,31.9,17.6,0.0
2016-02-25,32.1,19.8,0.0
2016-02-26,31.2,18.6,0.0
2016-02-27,31.2,18.5,0.0
2016-02-28,31.1,19.1,0.0
2016-02-29,30.5,18.8,0.0
2016-03-01,30.9,18.2,0.0
2016-03-02,30.8,18.4,0.0
2016-03-03,31.5,17.6,0.0
2016-03-04,31.9,16.2,0.0
2016-03-05,32.0,17.4,0.0
2016-03-06,32.4,17.4,0.0
2016-03-07,32.3,17.8,0.0
2016-03-08,32.8,17.2,0.0
2016-03-09,33.2,17.6,0.0
2016-03-10,33.3,19.4,0.0
2016-03-11,34.1,18.7,0.0
2016-03-12,34.0,19.2,0.0
2016-03-13,33.4,21.4,0.0
2016-03-14,32.8,21.8,0.0
2016-03-15,32.4,22.0,0.1
2016-03-16,33.1,21.1,0.0
2016-03-17,32.1,21.8,0.0
2016-03-18,34.4,21.5,0.0
2016-03-19,34.7,22.3,0.0
2016-03-20,35.5,21.9,0.0
2016-03-21,35.6,23.2,0.0
2016-03-22,35.1,22.7,0.0
2016-03-23,33.7,22.1,0.0
2016-03-24,34.6,22.2,0.0
2016-03-25,34.9,20.9,0.0
2016-03-26,34.6,19.9,0.0
2016-03-27,34.5,19.2,0.0
2016-03-28,33.9,19.2,0.0
2016-03-29,34.1,19.3,0.0
2016-03-30,34.6,20.1,0.0
2016-03-31,34.5,20.8,0.0
2016-04-01,34.1,21.0,0.0
2016-04-02,34.7,21.1,0.0
2016-04-03,34.2,21.3,0.0
2016-04-04,35.4,21.6,0.0
2016-04-05,34.8,20.4,0.0
2016-04-06,34.1,21.6,0.0
2016-04-07,34.4,21.9,0.3
2016-04-08,34.2,22.8,0.0
2016-04-09,33.6,23.7,0.0
2016-04-10,33.3,22.9,0.0
2016-04-11,35.5,22.8,0.0
2016-04-12,36.2,23.1,0.0
2016-04-13,35.8,23.6,0.0
2016-04-14,35.9,24.5,0.0
2016-04-15,36.7,24.2,0.0
2016-04-16,36.3,23.6,0.0
2016-04-17,36.0,23.3,0.0
2016-04-18,35.7,22.3,0.0
2016-04-19,35.3,22.6,0.0
2016-04-20,35.9,23.5,0.0
2016-04-21,36.2,23.5,0.0
2016-04-22,34.5,23.6,0.2
2016-04-23,36.5,23.5,0.0
2016-04-24,36.8,23.4,0.0
2016-04-25,36.7,24.1,0.0
2016-04-26,36.0,22.8,0.0
2016-04-27,36.7,21.8,0.0
2016-04-28,36.4,22.2,0.0
2016-04-29,36.3,23.1,0.0
2016-04-30,36.3,23.2,0.0
2016-05-01,35.7,24.0,0.0
2016-05-02,35.5,24.4,1.8
2016-05-03,34.7,23.5,0.7
2016-05-04,34.6,23.2,1.7
2016-05-05,34.4,22.9,2.8
2016-05-06,31.6,21.9,8.8
2016-05-07,32.5,21.7,2.0
2016-05-08,32.3,21.4,3.8
2016-05-09,33.2,21.3,0.8
2016-05-10,32.5,21.6,2.4
2016-05-11,32.6,21.5,0.0
2016-05-12,32.5,22.5,1.4
2016-05-13,33.8,22.0,0.0
2016-05-14,33.9,22.7,3.6
2016-05-15,35.3,22.3,0.0
2016-05-16,33.7,22.8,0.5
2016-05-17,29.8,21.6,2.1
2016-05-18,26.6,21.3,18.9
2016-05-19,28.8,21.3,10.1
2016-05-20,27.8,21.4,0.5
2016-05-21,32.2,21.3,0.0
2016-05-22,32.7,21.0,0.0
2016-05-23,32.8,21.4,0.0
2016-05-24,32.6,21.3,0.0
2016-05-25,32.4,21.8,0.0
2016-05-26,32.8,21.4,0.0
2016-05-27,32.8,22.0,3.2
2016-05-28,32.3,21.9,8.6
2016-05-29,28.3,21.8,2.2
2016-05-30,30.7,21.2,4.5
2016-05-31,31.0,21.1,10.1
2016-06-01,31.0,21.5,14.9
2016-06-02,28.8,21.6,6.8
2016-06-03,29.7,21.5,16.6
2016-06-04,28.2,21.4,8.8
2016-06-05,28.7,21.0,12.4
2016-06-06,29.2,20.9,0.3
2016-06-07,27.0,21.1,7.8
2016-06-08,28.6,20.9,25.9
2016-06-09,27.3,20.9,8.4
2016-06-10,27.5,20.6,1.0
2016-06-11,27.4,20.3,0.0
2016-06-12,28.3,20.8,1.2
2016-06-13,27.6,20.8,4.9
2016-06-14,27.9,20.5,3.1
2016-06-15,28.1,20.3,0.0
2016-06-16,27.7,19.6,2.9
2016-06-17,27.7,19.4,4.8
2016-06-18,27.8,20.2,2.7
2016-06-19,26.1,19.9,11.4
2016-06-20,25.7,20.1,0.3
2016-06-21,25.1,18.8,14.1
2016-06-22,25.6,18.8,16.0
2016-06-23,25.2,19.6,5.2
2016-06-24,25.5,19.5,5.9
2016-06-25,25.3,19.6,8.7
2016-06-26,26.0,19.6,7.3
2016-06-27,23.9,20.0,4.9
2016-06-28,24.8,20.0,33.3
2016-06-29,21.8,19.7,20.7
2016-06-30,24.4,20.1,3.0
2016-07-01,26.1,20.6,0.2
2016-07-02,26.8,20.4,0.2
2016-07-03,26.5,20.8,0.0
2016-07-04,25.6,20.5,13.4
2016-07-05,25.6,20.3,13.7
2016-07-06,25.9,20.4,9.6
2016-07-07,26.2,20.4,3.0
2016-07-08,25.7,20.4,0.6
2016-07-09,25.6,20.9,0.1
2016-07-10,26.2,21.0,0.1
2016-07-11,25.8,20.6,0.0
2016-07-12,26.0,20.4,0.7
2016-07-13,26.7,19.7,0.4
2016-07-14,26.9,19.5,2.0
2016-07-15,26.8,19.9,6.9
2016-07-16,26.5,19.8,10.0
2016-07-17,26.4,19.6,8.9
2016-07-18,25.7,19.4,7.1
2016-07-19,25.6,19.6,2.4
2016-07-20,25.5,19.4,5.3
2016-07-21,25.2,19.3,8.6
2016-07-22,23.7,19.0,3.1
2016-07-23,25.1,19.2,14.3
2016-07-24,24.4,19.7,14.1
2016-07-25,26.9,19.8,12.5
2016-07-26,26.9,19.7,25.5
2016-07-27,27.4,20.0,8.7
2016-07-28,26.0,20.1,11.5
2016-07-29,25.1,19.4,9.8
2016-07-30,22.8,18.8,23.3
2016-07-31,23.8,18.9,1.7
2016-08-01,25.1,18.8,0.3
2016-08-02,25.0,19.5,0.0
2016-08-03,25.3,19.8,0.0
2016-08-04,24.8,20.0,0.2
2016-08-05,25.1,19.7,0.6
2016-08-06,25.7,19.9,0.0
2016-08-07,25.7,19.7,1.3
2016-08-08,25.9,19.4,0.1
2016-08-09,26.5,19.3,0.2
2016-08-10,26.0,18.9,0.1
2016-08-11,26.2,19.1,0.1
2016-08-12,26.8,19.7,1.1
2016-08-13,27.1,19.6,2.3
2016-08-14,26.3,19.2,0.3
2016-08-15,26.2,19.5,1.1
2016-08-16,25.9,20.1,0.6
2016-08-17,25.9,20.1,0.6
2016-08-18,26.1,19.8,0.5
2016-08-19,26.5,19.2,0.4
2016-08-20,26.6,18.8,0.2
2016-08-21,26.9,18.2,0.0
2016-08-22,26.5,19.7,0.1
2016-08-23,27.2,19.8,0.6
2016-08-24,27.4,20.1,1.5
2016-08-25,26.2,19.8,3.8
2016-08-26,25.7,19.7,8.2
2016-08-27,25.9,19.6,1.5
2016-08-28,24.8,19.6,0.0
2016-08-29,26.2,19.6,2.8
2016-08-30,25.3,19.5,8.0
2016-08-31,24.4,19.4,5.6
2016-09-01,24.6,19.4,0.9
2016-09-02,25.3,19.2,1.7
2016-09-03,25.4,19.0,0.6
2016-09-04,25.8,18.5,0.3
2016-09-05,25.5,18.1,0.3
2016-09-06,25.3,17.8,0.9
2016-09-07,25.5,17.3,0.1
2016-09-08,26.4,16.8,0.0
2016-09-09,26.6,18.1,1.0
2016-09-10,27.0,18.6,0.1
2016-09-11,26.6,18.7,1.0
2016-09-12,25.4,18.6,3.6
2016-09-13,26.1,19.1,0.2
2016-09-14,26.2,19.7,0.5
2016-09-15,26.0,19.9,0.4
2016-09-16,26.9,19.5,1.5
2016-09-17,27.4,18.2,0.0
2016-09-18,26.7,18.2,0.4
2016-09-19,26.8,19.1,0.0
2016-09-20,25.8,18.9,3.3
2016-09-21,22.7,18.8,9.8
2016-09-22,24.7,19.2,0.7
2016-09-23,25.2,19.2,0.3
2016-09-24,24.3,19.8,0.7
2016-09-25,25.2,20.1,0.9
